sample_id,cab_gate,mix_gate,cab_mean_l1_from_uniform,cab_mean_max_abs_from_uniform,cab_mean_kl_from_uniform,cab_mean_one_minus_entropy,mix_l1_from_uniform,mix_max_abs_from_uniform,mix_kl_from_uniform,mix_one_minus_entropy,cab_head_best_idx,cab_head_best_score
32,0.5239022374153137,1.0,0.01844046637415886,0.006004244089126587,0.0001782261818075643,0.00012854438787363032,0.0031768493354320526,0.0018944740295410156,8.919973476720336e-06,6.460477781994323e-06,2,0.013348938967889537
33,0.5239022374153137,1.0,0.026325814425945282,0.008715331554412842,0.00036379527139066047,0.0002624153663864093,0.004514515399932861,0.0015498995780944824,1.080078171795872e-05,7.806018272354942e-06,2,0.01956406855362127
34,0.5239022374153137,1.0,0.02934105694293976,0.009354561567306519,0.00045382923264265036,0.00032736859167198373,0.006431315094232559,0.001863732933998108,2.0792942006545034e-05,1.501756361077522e-05,2,0.020772867617387544
35,0.5239022374153137,1.0,0.028080053627490997,0.009868264198303223,0.0004212452013098917,0.0003038716320446222,0.00602388009428978,0.0017386078834533691,1.8265088431783003e-05,1.3201553283076484e-05,2,0.02106687017024246
36,0.5239022374153137,1.0,0.030015408992767334,0.009806722402572632,0.00047425745196165697,0.0003421044370248427,0.005978472530841827,0.0018269717693328857,1.804243410822898e-05,1.3022315687311048e-05,2,0.02121233362551475
37,0.5239022374153137,1.0,0.027683429419994354,0.009328186511993408,0.0004039630202740173,0.0002913753712841527,0.00552927702665329,0.0017018616199493408,1.5928926151237747e-05,1.1497741963156782e-05,2,0.02075954104318676
38,0.5239022374153137,1.0,0.029283717274665833,0.009046018123626709,0.00044958210691739857,0.00032429003689984914,0.006267368793487549,0.0018497109413146973,1.9770764737143682e-05,1.4246690959202057e-05,2,0.020557686879426836
39,0.5239022374153137,1.0,0.026343166828155518,0.009100466966629028,0.0003650881219513951,0.00026335541151342734,0.004351310431957245,0.00149458646774292,1.0398356731258172e-05,7.523180586638256e-06,2,0.020539096025955113
40,0.5239022374153137,1.0,0.027754884213209152,0.008661478757858276,0.0004047000622832066,0.0002919405623225957,0.005499258637428284,0.0017944872379302979,1.6134683366705676e-05,1.162381267852397e-05,2,0.018696703812205062
41,0.5239022374153137,1.0,0.025200121104717255,0.008167311549186707,0.00033345256778275997,0.0002405277323754007,0.004404217004776001,0.0018234550952911377,1.1123500155585386e-05,8.009008094667092e-06,2,0.017843245427024396
42,0.5239022374153137,1.0,0.021711550652980804,0.007214084267616272,0.0002517723030296713,0.00018162277708760888,0.004696596413850784,0.0021674036979675293,1.6333670004378144e-05,1.1771076486505327e-05,2,0.015564525218261939
43,0.5239022374153137,1.0,0.020110629498958588,0.0062271058559417725,0.00021125587230190024,0.0001523814490836939,0.003883916884660721,0.0018559396266937256,1.2508171902566424e-05,9.011562916272364e-06,2,0.01346509693633325
44,0.5239022374153137,1.0,0.03036520630121231,0.009757012128829956,0.000478516037222646,0.00034518380752404654,0.006042953580617905,0.0019915997982025146,1.8757884355814162e-05,1.3542129239707545e-05,2,0.02173825486768769
45,0.5239022374153137,1.0,0.02787359431385994,0.009327024221420288,0.0004070247763588344,0.0002936249396374435,0.005943328142166138,0.0017343014478683472,1.7941896834661923e-05,1.2972145116113554e-05,2,0.020738489484050437
46,0.5239022374153137,1.0,0.028325285762548447,0.009117841720581055,0.0004189838235803666,0.00030224411811693996,0.006134897470474243,0.0018429309129714966,1.9133637076722764e-05,1.3802001662288621e-05,2,0.020932011736979908
47,0.5239022374153137,1.0,0.029242519289255142,0.009238898754119873,0.000443445485932838,0.0003198820270202407,0.0054298751056194305,0.0019403398036956787,1.58334096464041e-05,1.1417665498392182e-05,2,0.020838849454588464
48,0.5239022374153137,1.0,0.028572775423526764,0.009090423583984375,0.00042479140638632573,0.0003064147771223158,0.005836769938468933,0.0018820017576217651,1.745295173374075e-05,1.2589643457627808e-05,2,0.01988717117530104
49,0.5239022374153137,1.0,0.028996389359235764,0.009741514921188354,0.0004381495025637841,0.00031603943080682484,0.005495250225067139,0.001774430274963379,1.569234682048803e-05,1.1304734307687747e-05,2,0.02127593165768288
